Timestamp,"Are you currently involved in a family owned business, or do you expect to take on a leadership role in one within the next five years?","What is your current role? 
", How prepared do you feel for senior leadership or succession responsibilities in a business context?,"What do you think is one of the hardest parts of becoming an effective leader, and do you feel people in our age group, 20–24, are adequately prepared for it?","How relevant is the following to your situation: ""I need to demonstrate my leadership capability to seniors or a board, but I have no structured way to do it.""","If a platform existed that let you practise real business crisis scenarios (succession, financial stress, governance conflict) and gave you a certificated profile at the end, how likely would you be to use it? 
"," How valuable would it be to connect with peers who have complementary skills and face similar business challenges, matched based on your assessment results? ","How much would you be willing to pay per month for a platform that helps you improve your leadership skills through simulations and connects you with people who share your values, challenges your thinking, and who you can learn from one another (given your assessed strengths and weaknesses in situational judgement)?","Would you want to connect with someone better than you in a skill you lack, or someone similar to you? Why?"
4/18/2026 5:54:12,Undecided,Student,2,"I think the hardest parts are balancing experience, credibility, growth and communication. I think people in our age group have could have personal qualities that show they have the potential to be a great leader but I think our age group needs more experience to be fully prepared for it. ",3,4,4,Would only use if provided by university or employer,I would want to connect with both because I think I would learn from both in different ways. I would be able to learn how to better my skills from the person better than me and I would be able to discuss how to better it and tackle it together with the person similar to me. 
4/18/2026 8:24:36,Yes,NextGen family business inheritor,3,"One of the more irksome burdens of leadership, I find, is the tedious necessity of securing buy-in. We appear to be living through a period of rather breathless upheaval - artificial intelligence promising all manner of dazzling, if somewhat overhyped, possibilities. And yet, perversely, the actual business of implementing change has become increasingly laborious, not least due to the mounting scepticism of the broader public - who, one can’t help but feel, are not always especially well-equipped to grasp what is in their own interest.",5,5,5,£10–25,"Indeed, though I am not opposed in principle, I should note - as a matter of longstanding policy - that I do not remunerate others for the privilege of my time. Quite the contrary, one might reasonably argue that the opportunity to engage with me constitutes compensation in itself. If anything, the arrangement ought to be reversed."
4/25/2026 10:01:20,No,Aspiring Entrepreneur,3,Knowing how to manage financials and a team ,4,5,5,£10–25,Yes because we can learn something from everyone 
4/25/2026 10:23:07,Yes,Aspiring Entrepreneur,3,"One of the hardest parts of becoming an effective leader is making decisions that disappoint people and still standing by them. It’s easy to lead when everyone agrees but I believe it is much harder when you have incomplete information, conflicting interests, and real consequences. People in the 20–24 range usually aren’t fully prepared for that yet, 
not because they lack ability, but because they haven’t had enough exposure to real stakes. ",4,5,5,£10–25,"Someone better than me in a skill I lack because I think that is where real growth happens. Being around people similar to you is comfortable, but it rarely pushes you to improve or see your blind spots."
4/25/2026 14:06:46,Yes,Aspiring Entrepreneur,4,,4,4,4,£10–25,
4/25/2026 15:26:47,Yes,Aspiring Entrepreneur,3,"Getting the respect from the people you are leadering, being taken seriously I think is one of the hardest things. If I’m leadering a group of age 20-24 being 21 myself I would find it hard earning that respect from the group. But I do think some people are prepared for it ",4,5,5,Free only,"Yes so I’m able to learn from them and from the experiences, to actually have someone I’m observing and adopting skills from"
4/25/2026 16:07:32,No,Student,1,"Probably obtaining that role in the first place in an over saturated job market. In terms of being an “effective” leader I think the difficulty is to make sure your whole team performs without micromanaging or being pushy. The level of preparation probably depends on what type of studies people have done, but not having studied business I don’t feel like I have received any preparation on how to become a leader.",2,5,5,£5–10,"Someone better than me, because I think it’ll inspire me and also I can take their advice more seriously "
4/25/2026 16:14:16,Yes,Aspiring Entrepreneur,3,"Experience and Network, our age group are likely disadvantaged most by experience. ",2,5,5,£10–25,"Yes, so I can learn from them. Even with someone similar as this gives me a chance to understand those who are at the same stage and experience level as myself and learn from their own journey. "
4/26/2026 09:18:33,No,Student,2,"I think the hardest part is making confident decisions when you have not had much real responsibility before. People our age understand leadership in theory but usually need more practical experience.",3,4,4,£5–10,"Someone better than me in a skill I lack because it would help me improve faster and see what good judgement looks like."
4/26/2026 11:42:08,Undecided,Aspiring Entrepreneur,3,"Managing pressure and keeping people motivated is hard, especially when plans change quickly. I think 20 to 24 year olds can be ambitious but not always prepared for the emotional side of leadership.",4,5,5,£10–25,"I would prefer someone better than me in one area, but also similar enough that the advice feels relevant to my stage."
4/26/2026 13:07:51,No,Student,2,"The hardest part is probably communication, especially giving feedback without damaging relationships. I do not think most people in our age group get enough chances to practise this.",3,4,4,Would only use if provided by university or employer,"Someone similar to me at first because it would feel less intimidating, then someone stronger once I knew what I needed to improve."
4/26/2026 15:34:19,No,Aspiring Entrepreneur,4,"Knowing how to lead without having formal authority is difficult. Many young people have ideas and energy, but less experience handling conflict or accountability.",4,5,5,£10–25,"Someone better than me because I would want to learn from their habits and understand how they approach problems."
4/27/2026 10:12:44,Undecided,Student,2,"I think dealing with uncertainty is one of the hardest parts. Our age group is prepared for digital tools and teamwork, but less prepared for decisions with financial consequences.",3,4,5,£5–10,"Both would be useful. A stronger person could teach me, while someone similar could make it easier to compare progress."
4/27/2026 12:26:05,No,Aspiring Entrepreneur,3,"The hardest part is building trust quickly. I think people aged 20 to 24 are often capable but need more structured ways to prove themselves.",4,5,4,£10–25,"Someone better than me in a weak skill because I would value direct learning and honest feedback."
4/27/2026 17:49:32,No,Student,1,"I would say confidence under pressure is the hardest part. I do not feel our age group is fully prepared because most learning is academic rather than based on realistic leadership situations.",2,4,4,Free only,"Someone similar to me because I would feel more comfortable discussing mistakes, although I would still want access to people with stronger skills."
